exam_duration_minutes,time_taken_to_start,tab_switch_count,fullscreen_exit_count,copy_paste_attempts,device_switch_count,ip_address_change,mouse_movement_speed,inactivity_time,question_skip_count,revisits_count,login_attempts,network_instability,webcam_disabled_flag,background_noise_flag,exam_time_remaining,typing_speed,answer_change_count,suspicious_activity_score,cheating_risk
40,0,3,0,1,0,0,481,27,3,14,1,0,0,0,23,44,10,5,0
50,0,3,1,1,1,0,518,93,1,3,3,1,0,0,34,47,0,9,1
72,2,8,2,1,0,0,555,98,5,13,5,1,0,0,22,34,19,16,1
68,3,8,0,1,0,0,400,83,3,8,1,0,0,0,21,27,5,10,0
78,3,4,1,0,0,0,567,108,0,2,4,0,0,0,3,40,8,9,0
30,0,4,0,3,0,0,406,54,0,3,3,0,0,1,6,37,11,10,0
30,0,0,1,0,0,0,285,32,0,12,1,0,0,0,20,38,7,2,0
94,0,0,1,1,0,0,390,109,4,27,1,0,0,1,4,33,11,3,0
58,7,7,2,2,0,0,568,109,5,8,2,0,0,1,33,43,9,13,1
65,3,3,1,1,0,0,442,124,3,8,1,0,0,0,3,41,16,6,0
81,6,2,0,1,0,0,512,67,4,6,1,0,0,0,8,46,14,4,0
51,4,3,0,0,0,0,642,139,4,20,1,0,0,0,23,36,7,4,0
39,3,1,0,0,0,0,538,65,4,2,2,1,0,0,15,34,4,3,0
73,8,2,2,0,0,0,745,71,7,15,3,1,0,0,28,47,15,7,0
55,1,5,0,2,1,0,485,189,0,2,1,3,0,0,18,45,0,9,1
70,2,5,0,0,0,0,513,82,1,8,2,0,0,0,17,41,9,7,0
54,3,5,2,1,0,0,443,89,11,24,1,1,0,0,16,36,4,9,0
90,2,2,1,2,0,0,412,46,6,23,1,0,0,0,13,44,12,6,0
86,3,5,1,1,0,0,507,118,5,20,1,1,0,0,9,45,16,8,0
66,1,5,3,0,0,0,449,89,11,9,2,1,0,0,28,41,9,10,1
47,5,0,3,1,0,0,695,63,2,6,1,0,0,0,9,41,8,5,0
37,0,4,1,2,0,0,422,137,1,0,1,2,0,0,27,54,2,8,1
90,8,4,1,3,2,1,406,200,8,22,1,0,0,0,20,30,15,11,1
94,7,5,1,2,0,0,492,128,4,21,2,0,0,0,36,33,15,10,0
50,0,5,1,0,0,0,495,46,7,15,1,1,0,0,27,41,0,7,0
57,3,4,2,0,0,1,499,86,7,22,2,1,0,0,13,40,15,8,1
69,2,5,2,0,0,1,421,17,0,15,4,0,1,0,0,46,12,11,1
76,6,6,2,1,1,0,666,104,10,28,3,1,0,1,5,41,15,13,1
89,4,5,0,1,0,0,419,91,9,30,1,0,1,0,17,39,19,7,1
44,4,4,1,0,0,0,576,78,5,7,1,0,0,1,6,48,0,6,0
89,0,3,2,1,1,0,429,132,8,25,1,0,1,1,26,45,22,8,0
30,7,2,2,0,0,0,691,79,3,5,1,0,0,0,10,45,0,5,0
85,6,3,0,1,0,1,540,96,6,28,3,0,0,0,17,47,9,7,1
67,8,6,0,0,0,0,516,141,7,11,3,2,1,0,7,46,16,9,1
95,7,6,2,2,0,0,620,81,3,22,2,0,0,1,18,21,17,12,1
114,1,9,2,2,0,1,362,121,7,30,1,0,1,0,19,43,13,14,1
101,4,7,3,1,0,0,550,101,7,16,1,1,0,1,24,45,18,12,1
30,2,4,0,3,0,0,436,78,0,1,1,0,0,1,10,28,2,8,0
38,0,4,2,0,0,0,485,21,0,0,1,0,0,0,16,52,1,7,0
85,6,6,2,0,0,0,497,69,6,19,3,0,0,1,0,46,12,11,0
46,3,2,3,0,0,0,441,101,0,6,1,0,1,0,19,50,4,6,0
66,4,5,0,2,0,0,655,104,3,19,1,1,0,0,19,48,14,8,1
77,0,5,2,0,0,0,647,15,0,21,1,0,0,0,24,43,18,8,0
30,5,4,2,0,0,0,595,139,0,0,2,0,0,0,18,41,2,8,0
30,2,0,2,1,0,0,626,79,0,0,1,2,0,0,13,43,0,4,0
77,8,6,2,1,0,0,632,143,8,22,2,1,0,0,12,51,24,11,0
67,2,4,0,0,0,0,358,73,0,9,1,1,0,1,11,36,15,5,0
35,6,2,2,0,0,0,499,146,2,6,2,0,0,0,11,41,4,6,1
68,7,10,1,2,0,0,588,102,4,15,4,1,1,0,34,33,16,17,1
30,4,7,1,3,0,1,301,116,2,12,1,1,0,1,20,42,3,12,1
30,3,0,0,0,1,1,507,58,0,0,1,0,0,0,20,43,0,2,0
71,5,4,3,2,3,0,460,135,3,16,4,1,0,0,16,37,6,16,1
36,5,2,2,0,0,0,622,94,3,11,3,1,0,0,6,42,2,7,0
30,1,2,2,0,1,0,740,95,0,0,1,0,1,1,20,36,0,6,1
41,0,3,1,0,0,1,436,78,10,19,1,0,0,0,10,40,4,5,0
66,5,4,2,1,0,0,415,156,3,21,1,0,0,0,0,41,5,8,0
67,9,4,0,0,1,1,570,155,13,31,3,3,0,0,22,49,15,8,1
34,2,4,1,1,1,0,429,97,1,1,1,0,0,1,24,33,8,8,1
30,6,7,2,0,0,0,526,124,1,9,1,2,0,1,18,48,4,10,1
30,4,5,0,0,0,0,559,77,1,4,1,2,0,0,2,49,0,6,0
37,1,3,1,1,0,0,527,49,0,0,2,1,0,0,14,45,7,7,0
41,6,0,1,0,0,0,652,95,4,7,2,1,0,0,7,32,15,3,0
49,1,5,1,0,0,0,451,51,3,2,2,0,0,1,20,39,5,8,0
77,7,3,3,0,0,0,613,55,7,11,1,1,0,0,5,45,17,7,0
56,3,5,1,0,0,0,582,49,1,18,3,0,0,0,10,41,4,9,0
99,3,5,1,1,0,0,572,108,11,31,1,0,0,0,21,40,19,8,1
30,0,8,1,2,0,0,507,85,0,0,3,1,0,0,17,40,0,14,1
82,4,6,1,1,0,0,476,107,10,16,1,0,0,1,0,25,19,9,1
47,3,5,0,2,0,0,407,123,0,14,4,1,0,0,13,41,3,11,1
58,0,5,2,1,1,0,534,124,1,17,1,3,1,1,17,44,3,10,1
30,4,4,1,1,0,0,616,75,1,11,1,0,0,0,19,36,7,7,0
30,0,4,3,2,0,0,435,90,1,14,1,1,0,0,20,40,0,10,1
88,3,7,0,1,0,0,643,99,6,6,2,3,1,0,0,40,12,10,1
63,7,4,0,0,0,0,568,133,1,13,1,1,0,0,38,39,2,5,0
46,9,0,1,2,0,0,667,154,4,4,1,0,0,0,3,35,10,4,0
53,0,4,2,3,0,0,583,86,0,0,1,0,0,0,0,35,15,10,1
90,3,5,0,0,0,0,601,43,6,29,1,0,0,0,12,33,19,6,0
78,4,5,1,0,0,0,462,119,3,9,1,1,0,0,12,44,5,7,0
30,1,7,2,1,0,0,521,75,0,0,1,1,1,0,20,38,0,11,1
60,1,6,1,1,0,0,714,99,0,4,1,0,0,0,23,43,9,9,0
30,0,2,0,0,1,0,358,58,0,0,4,0,0,0,20,32,7,7,0
30,4,2,1,0,0,0,620,119,0,0,1,1,0,0,20,58,0,4,0
38,3,5,0,0,1,0,453,35,0,2,1,1,0,0,9,46,6,7,0
81,0,4,0,0,0,0,519,61,10,24,1,0,0,0,2,43,23,5,0
87,2,6,1,1,1,0,475,119,7,3,2,1,0,0,34,37,8,11,1
30,2,3,1,2,0,0,480,51,0,10,1,1,0,0,3,43,0,7,0
52,1,3,0,1,0,0,487,87,5,3,1,2,0,1,25,49,2,5,0
82,4,3,2,1,0,0,440,67,8,23,3,4,0,0,0,35,18,9,1
56,10,7,1,3,2,0,653,167,4,36,1,2,0,0,23,46,13,14,1
84,1,5,1,0,1,0,486,107,2,12,1,2,0,0,16,43,11,8,0
35,4,1,1,0,0,0,553,125,7,0,1,0,0,0,10,41,14,3,0
61,7,7,0,0,0,0,513,169,0,15,2,2,0,1,22,47,17,9,1
86,2,2,1,0,0,1,459,65,12,13,1,1,1,0,25,40,9,4,1
64,0,5,3,0,1,0,282,92,6,32,1,0,1,0,17,52,19,10,1
52,1,4,2,1,2,0,399,145,5,15,2,1,0,0,5,33,11,11,1
30,0,4,2,0,0,0,478,100,0,7,2,2,0,0,18,40,4,8,1
99,3,8,0,0,0,0,445,70,7,20,1,0,0,0,0,34,12,9,0
30,2,7,1,2,2,0,495,86,1,0,3,0,0,0,18,48,4,15,1
73,2,7,0,0,0,0,367,25,8,20,1,1,1,0,9,54,10,8,0
30,6,1,1,0,1,0,576,68,2,0,1,1,0,1,20,40,13,4,1
40,1,1,2,1,1,1,413,124,2,8,2,2,0,0,30,37,8,7,1
68,6,2,0,0,1,0,597,113,5,7,4,0,0,0,15,40,5,7,0
30,6,1,0,0,0,0,755,119,2,0,2,0,0,0,20,36,12,3,0
97,6,4,1,1,0,0,438,65,12,24,3,0,0,0,31,30,19,9,0
95,7,7,2,1,0,0,659,87,11,34,3,1,0,0,5,36,25,13,0
38,7,7,1,1,0,0,649,68,4,15,4,0,0,0,1,46,3,13,1
83,3,0,1,0,0,0,474,49,6,22,1,0,0,1,0,44,10,2,0
51,1,3,2,1,0,0,534,16,4,21,1,0,0,0,11,38,3,7,0
30,6,0,1,0,0,0,476,103,0,0,4,2,0,0,20,55,0,5,0
75,4,3,0,0,0,0,433,35,5,9,1,0,0,0,33,39,15,4,0
70,2,5,0,2,0,0,353,90,0,9,1,0,0,0,8,43,7,8,0
45,11,7,3,1,0,0,495,131,11,6,4,4,0,0,25,42,25,15,1
30,2,0,1,1,0,0,561,24,0,1,2,0,0,0,18,44,0,4,0
77,4,2,3,0,0,0,527,83,1,15,1,0,0,0,20,34,7,6,0
66,0,5,0,1,0,0,482,105,4,9,1,0,0,0,33,36,0,7,1
65,5,4,1,0,0,0,627,116,9,26,1,0,0,1,12,41,10,6,0
79,0,5,0,0,0,0,510,54,1,2,1,2,0,0,1,39,12,6,0
63,4,6,2,0,0,0,460,59,5,7,1,0,0,0,31,37,13,9,1
104,3,3,0,0,0,0,532,170,9,21,2,1,0,0,22,38,10,5,0
64,0,5,0,0,0,0,607,78,0,8,3,0,0,0,23,53,0,8,0
48,4,1,2,0,0,0,633,122,2,1,4,3,0,0,0,41,7,7,0
30,0,8,1,2,0,0,550,126,0,11,1,0,0,0,15,54,0,12,0
93,4,3,2,0,0,1,443,127,9,23,4,0,1,1,18,42,20,9,1
102,5,7,3,0,0,0,807,104,5,26,3,0,0,0,14,36,9,13,1
90,7,4,0,0,0,0,548,84,9,18,1,0,0,0,20,44,10,5,0
92,2,6,1,0,1,0,503,99,1,22,1,0,0,0,26,39,8,9,1
68,1,8,1,2,0,0,488,50,5,19,1,1,0,0,17,42,14,12,0
49,4,3,1,0,0,0,454,49,3,11,1,2,0,1,13,43,15,5,0
53,8,3,1,0,0,1,468,133,5,1,2,1,0,0,6,40,3,6,1
54,6,4,3,2,0,0,712,105,7,10,1,1,0,1,28,31,13,10,1
64,5,8,0,2,0,0,580,110,6,19,1,1,0,0,22,43,15,11,0
87,5,4,1,0,1,0,423,123,11,25,2,3,0,0,31,38,10,8,1
66,3,4,1,0,0,0,559,89,0,14,1,0,0,0,0,47,17,6,0
51,1,7,0,1,0,0,624,32,6,3,1,0,1,0,24,40,8,9,1
30,4,4,0,0,1,0,620,87,0,7,2,3,0,1,15,51,3,7,1
46,3,2,1,0,0,0,389,71,7,16,1,0,0,0,22,41,5,4,0
91,7,4,5,1,2,0,476,183,6,28,4,1,1,0,33,30,23,16,1
88,4,5,4,1,1,0,511,118,3,9,1,0,1,0,32,39,4,12,1
54,0,6,1,2,0,0,636,79,6,8,2,0,0,0,5,49,18,11,0
30,2,4,0,0,0,0,564,103,5,15,2,0,0,0,16,34,13,6,0
33,3,5,1,1,1,1,451,81,0,0,2,0,0,0,22,22,0,10,1
72,0,3,5,1,0,1,401,53,4,25,1,1,0,0,22,39,6,10,1
95,7,4,2,0,0,0,690,121,7,24,1,0,0,0,26,37,15,7,0
40,8,7,3,2,2,0,294,171,3,13,2,2,0,0,8,33,4,16,1
48,8,6,3,2,1,1,566,153,4,9,1,1,0,0,20,43,12,13,1
50,4,4,0,1,0,0,512,63,0,11,6,0,1,0,28,46,9,11,1
67,1,5,0,0,0,0,431,78,3,1,2,1,1,0,0,38,13,7,0
30,3,1,0,1,0,0,517,84,2,0,1,1,0,0,20,45,2,3,0
30,4,1,0,0,0,0,585,65,1,7,1,0,0,0,20,41,7,2,0
50,2,5,2,0,2,0,526,114,4,0,1,5,1,0,3,39,8,10,1
88,0,8,3,1,0,0,564,96,5,19,1,1,0,1,0,39,12,13,1
30,0,4,4,1,0,0,514,86,0,6,2,1,0,0,18,52,4,11,0
71,3,6,3,0,0,0,578,133,5,24,3,0,0,0,5,44,5,12,1
91,4,6,2,0,0,1,517,42,10,39,1,1,0,1,27,44,24,9,1
39,4,6,6,0,3,0,250,180,6,7,2,1,0,0,28,45,0,17,1
46,0,4,3,0,0,0,367,72,2,11,3,0,0,0,12,41,7,10,0
50,1,5,2,1,0,0,431,45,5,15,3,1,0,0,24,47,14,11,0
57,4,4,1,0,0,0,561,92,5,15,5,0,0,1,11,41,12,10,0
42,3,4,4,1,1,0,379,91,0,15,1,1,0,0,32,43,1,11,1
81,4,5,3,1,0,0,541,111,4,13,1,1,0,1,6,34,7,10,1
132,7,8,0,0,0,0,615,76,12,29,1,0,1,0,5,38,17,9,1
54,2,4,2,0,0,0,594,55,1,2,1,0,0,1,0,37,7,7,0
60,4,0,2,0,0,1,287,73,1,0,5,0,0,0,9,43,8,7,0
40,0,2,1,2,0,0,774,84,0,0,2,0,1,0,30,34,7,7,1
60,0,2,0,1,0,0,372,95,5,21,3,0,0,0,11,48,3,6,0
30,0,2,1,0,0,0,511,38,0,6,1,0,0,0,8,36,11,4,0
30,2,5,1,0,1,0,549,76,0,5,1,2,0,0,20,36,0,8,1
69,1,4,1,0,0,0,537,90,2,12,2,0,0,0,0,43,15,7,0
37,6,3,0,0,1,0,625,80,1,8,1,2,0,0,22,47,3,5,0
104,10,3,1,3,1,0,608,151,6,8,3,2,0,0,31,37,13,11,1
106,7,11,3,1,2,0,422,89,9,24,3,1,0,1,8,42,24,20,1
93,6,4,2,1,0,0,639,89,3,19,3,0,0,0,15,46,3,10,0
